slang,baku
shayyy,sayang
shbat,sahabat
shbt,sahabat
shg,sehingga
sholihah,salihah
si,sih
sia2kan,sia-siakan
siapa2,siapa-siapa
siapaa,siapa
siapayahh,siapa ya
siappa,siapa
sibukx,sibuknya
sich,sih
sichh,sih
sichhhhhhhhhh,sih
sidak,inspeksi mendadak
sie,sih
siech,sih
sieyh,sih
sihat,sehat
sihh,sih
sihhh,sih
sihhhh,sih
sii,sih
siih,sih
siihh,sih
siihhh,sih
siiih,sih
siiihh,sih
siiihhh,sih
siiiiiiippppppppp,ok
siip,ok
siipp,ok
siippp,ok
"sikap""",sikap-sikap
sikon,situasi dan kondisi
silahkan,silakan
silahkn,silakan
silauuu,silau
silsturahmi,silaturahmi
simiskin,miskin
simpedes,simpanan pedesaan
simpen,simpan
sinet,sinema elektronik
sinetron,sinema elektronik
sintron,sinema elektronik
sip,ok
sipiit,sipit
sipp,ok
siramin,siramkan
siriik,sirik
sirikk,sirik
sis,kakak perempuan
sisain,menyisakan
sista2,sista-sista
sitayngin,ditayangkan
sj,saja
sja,saja
sjk,sejak
sk,suka
ska,suka
skali,sekali
skali2,sekali-kali
skalian,sekalian
skaligus,sekaligus
skalii,sekali
skarang,sekarang
skedar,sekadar
skg,sekarang
skit,sakit
skitar,sekitar
skl,sekali
sklh,sekolah
skli,sekali
sklinyaa,sekalinya
skluarga,sekeluarga
skolah,sekolah
skr,sekarang
skrang,sekarang
skrg,sekarang
skrng,sekarang
skrngnya,sekarangnya
skrnh,sekarang
skt,sakit
sktika,seketika
sktlrang,sekarang
skul,sekolah
slah,salah
slahkan,salahkan
slalu,selalu
s'lalu,selalu
slaluuuuu,selalu
slam,salam
slama,selama
slamat,selamat
slamet,selamat
slamt,selamat
slesai,selesai
slh,salah
slhkan,salahkan
sling,saling
sll,selalu
sllu,selalu
slm,salam
slma,selama
slmat,selamat
slmnya,salamnya
slmt,selamat
slmttt,selamat
slsai,selesai
slt,sulit
slw,selow
sm,sama
sm2,sama-sama
sma,sama
sma2,sama-sama
smakin,semakin
smangat,semangat
smbil,sambil
smentara,sementara
smg,semoga
smga,semoga
smgaa,semoga
smkin,semakin
smnagatin,menyemangati
smngat,semangat
smnjak,semenjak
smog,semoga
smoga,semoga
smogaaa,semoga
smp,sampai
smpai,sampai
smpe,sampai
smpt,sempat
smrg,semarang
smster,semester
smua,semua
smuaaa,semua
smulla,semula
smvk,celana dalam
smw,semua
smwny,semuanya
sna,sana
sndiri,sendiri
sndr,sendiri
sndri,sendiri
sneng,senang
sng,senang
sngaja,sengaja
sngt,sangat
sni,sini
so,sok
soalx,soalnya
soal'y,soalnya
soft,halus
soga,moga
sohib,teman
sok2,sok-sok
sok2an,sok-sokan
sokk,sok
soljum,sholat jumat
solve,solusi
somse,sombong sekali
songong,sombong
sorry,maaf
sory,maaf
sosbud,sosial-budaya
sosek,sosial-ekonomi
sospol,sosial-politik
sotoy,sok tahu
sowry,maaf
sp,siapa
spa,siapa
spd,sepeda
sperti,seperti
spertinya,sepertinya
sppa,siapa
sprt,seperti
sprti,seperti
spt,seperti
spti,seperti
spy,supaya
srng,sering
srpti,seperti
srruu,seru
srta,serta
srtfkt,sertifikat
ssorg,seseorang
sstu,sesuatu
staf2nya,staf-stafnya
stagahhhh,astaga
statusx,statusnya
steess,stres
stelah,setelah
stiap,setiap
stidaknya,setidaknya
still,masih
stimpal,setimpal
stju,setuju
stlh,setelah
stop,henti
stp,setiap
stress,stres
sttus,status
stu,satu
stuju,setuju
suamiii,suami
suamiiiii,suami
suaminga,suaminya
suaminy,suaminya
suami'y,suaminya
suaranyaa,suaranya
suaranyaaaaaa,suaranya
suaraynyaa,suaranya
suarranya,suaranya
subahanallah,subhanallah
subbag,subbagian
subhanaallahh,subhanallah
subhanallahhh,subhanallah
subhanalloh,subhanallah
subhannallah,subhanallah
subhnallah,subhanallah
suces,sukses
sucses,sukses
sud,sudah
suda,sudah
sudab,sudah
sudh,sudah
suerrr,suer
suipit,sipit
suk,masuk
suka.a,sukanya
suka2,suka-suka
sukaa,suka
sukaaa,suka
sukaaaa,suka
sukaaaaaa,suka
sukaaak,suka
sukak,suka
sukakkk,suka
sukam,suka
sukkaa,suka
suko,suka
sukse,sukses
suksea,sukses
suksess,sukses
sukur2,sukur-sukur
sumai,suami
sumbangin,sumbangkan
sumpahh,sumpah
sumpeh,sumpah
sumpek,sempit
sumvahh,sumpah
sunah2,sunah-sunah
sunggu,sungguh
sungguh2,sungguh-sungguh
supeer,super
surgaa,surga
suru,suruh
sweger,segar
swmntara,sementara
sy,saya
sya,saya
syang,sayang
syantiek,cantik
syantiiiiikkkkkkkkkkkk,cantik
syantik,cantik
syediih,sedih
syediiihhh,sedih
syekaliii,sekali
syg,sayang
sygkuu,sayangku
"syirik""",syirik-syirik
syng,sayang
syngnya,sayangnya
synk,sayang
syp,siapa
sypa,siapa
syratnya,syaratnya
syukaaakkk,suka
t4,tempat
tabanas,tabungan pembangunan nasional
taek,kotoran
taekk,kotoran
tah,kakak perempuan
tahannn,tahan
tahi,kotoran
"tahun""",tahun-tahun
tahun2,tahun-tahun
tai,kotoran
taiiii,kotoran
taik,kotoran
tajir,kaya
tak,tidak
takuttt,takut
takuuuuut,takut
tambahh,tambah
tambahim,tambahkan
tambahin,tambahkan
tambh,tambah
tampialannya,tampilannya
tamvann,tampan
tanda2nya,tanda-tandanya
tanggung2,tanggung-tanggung
tangkep,tangkap
"tante""",tante-tante
tante2,tante-tante
tantee,tante
tanteny,tantenya
tanya2,tanya-tanya
tanyain,tanyakan
tanyang,tayang
taon,tahun
tap8,tapi
tapii,tapi
tapo,tapi
tappi,tapi
tar,nanti
tau,tahu
tau2,tau-tau
tauk,tahu
taun,tahun
tauu,tahu
tauuu,tahu
tauuuu,tahu
tauuuuu,tahu
taux,taunya
taw,tahu
tawh,tahu
tay,kotoran
tayik,kotoran
taz,atas
tbuh,tubuh
td,tadi
tdak,tidak
tdi,tadi
tdk,tidak
tdnya,tadinya
tdr,tidur
tdung,tudung
tdur,tidur
te2p,tetap
tebel,tebal
tebir,ribet
"tebir""",ribet-ribet
tegaar,tegar
teguran2,teguran-teguran
teh,kakak perempuan
tehh,kakak perempuan
tehhh,kakak perempuan
tehhhh,kakak perempuan
tekor,rugi
telaatt,terlambat
telat,terlambat
telefisi,televisi
telimakacih,terima kasih
telkom,telekomunikasi
telmi,telat berpikir
telp,telepon
"teman""ny",teman-temannya
teman2,teman-teman
tembemmm,tembem
tembokk,tembok
temen,teman
"temen""",teman-teman
temen2,teman-teman
temenan,berteman
temenkuuh,temanku
temenn,teman
temennya,temannya
temen-temen,teman-teman
tempat2,tempat-tempat
tempt,tempat
tengah2,tengah-tengah
tengaj,tengah
tenggah,tengah
tengil,menyebalkan
tengok,menjenguk
tenny,tenang
tentanh,tentang
tepar,terkapar
terangkhn,terangkan
terbaeeeek,terbaik
terbaeq,terbaik
terbaiiikkkkk,terbaik
terbaikkk,terbaik
terbitin,terbitkan
terburu2,terburu-buru
terhaaru,terharu
terharuuu,terharu
terharuuuu,terharu
terimaksih,terima kasih
teringt,teringat
terjrumus,terjerumus
terkenall,terkenal
termiribkan,termiripkan
termuraaahhhh,termurah
termurahhh,termurah
termurahhhh,termurah
ternodain,ternodai
ternyataa,ternyata
terong2an,terong-terongan
terossss,terus
terrrrbaik,terbaik
teru,terus
"terus""an",terus-terusan
terus2an,terus-terusan
teruss,terus
terusss,terus
teruuss,terus
teruz,terus
teruzzz,terus
testi,testimoni
testinya,testimoninya
tetaplaah,tetaplah
tetapppp,tetap
tetehh,teteh
tetep,tetap
tetp,tetap
teyuss,terus
tggu,tunggu
tgk,menjenguk
tgl,tanggal
tgu,tunggu
th,tahu
th2,tahun-tahun
than,tahan
thanks,terima kasih
thankz,terima kasih
thd,terhadap
thdp,terhadap
therchakitty,tersakiti
thn,tahun
thnan,tahunan
thu,itu
thun,tahun
thx,terima kasih
tiba2,tiba-tiba
tidakkkk,tidak
tiga2nya,tiga-tiganya
tikung2,tikung-tikung
tilang,bukti pelanggaran
tilep,tilap
tingal,tinggal
tinggalin,tinggalkan
tinggalkn,tinggalkan
tinggall,tinggal
tinggl,tinggal
tioghoa,tionghoa
tipe2,tipe-tipe
tipi,TV
tipiwan,TvOne
tips2,tips-tips
tipu2nya,tipu-tipunya
tirani,tiran
tium,cium
tk,tidak
tkg,tukang
tks,terima kasih
tkut,takut
tlg,tolong
tll,terlalu
tlog,tolong
tlp,telepon
tlpn,telepon
tls,tulis
tlsn,tulisan
tlvn,telepon
tman,teman
tmbah,tambah
tmbh,tambah
tmbm,tembam
tmen,teman
tmen2,teman-teman
tmn,teman
tmn2,teman-teman
tmn2nya,teman-temannya
tmpah,tumpah
tmph,tumpah
tmpt,tempat
tnang,tenang
tnda,tanda
tnggl,tanggal
tnggu,tunggu
tngh,tengah
tngu,tunggu
tnh,tanah
tnp,tanpa
tnpa,tanpa
tntg,tentang
tntram,tentram
tnya,tanya
tnyta,ternyata
to,tapi
togel,toto gelap
tohh,toh
tokai,tai
tokayyy,kotoran
toketnya,teteknya
tolernsi,toleransi
toloollll,tolol
tongolin,menongol
toserba,toko serba ada
tot,entot
toys,main
tp,tapi
tpi,tapi
tpii,tapi
tpy,tapi
tq,terima kasih
trasa,terasa
trbaik,terbaik
trbaikk,terbaik
trbukti,terbukti
trdhulu,terdahulu
tren,trend
trending,trend
trganggu,terganggu
trgntg,tergantung
trhtung,terhitung
trima,terima kasih
trims,terima kasih
trimz,terima kasih
trjadi,terjadi
trjd,terjadi
trknal,terkenal
trkrim,terkirim
trlalu,terlalu
trlihat,terlihat
trll,terlalu
trm,terima
trmanis,termanis
trmasuk,termasuk
trmsuk,termasuk
trnyata,ternyata
trnyt,ternyata
troma,trauma
trpsah,terpisah
trrharu,terharu
trs,terus
trsa,terasa
trserah,terserah
trserh,terserah
trsrh,terserah
trun,turun
trus,terus
trusan.a,terusannya
trusss,terus
trussss,terus
trutama,terutama
trz,terus
ts,penulis
tsangka,tersangka
tsb,tersebut
tsk,tersangka
tst,tahu sama tahu
ttap,tetap
ttd,tertanda
tteh,teteh
ttep,tetap
ttg,tentang
tth,teteh
ttinggi,tinggi
ttp,tetap
tu,itu
tua2,tua-tua
tuany,tuanya
tuch,itu
tuh,itu
tuhanny,tuhannya
tuhh,itu
tuhhh,itu
tuir,tua
tuk,untuk
tukan,tukang
tullus,tulus
tumpe2,tumpah-tumpah
tunggu2,tunggu-tunggu
tunjukan,tunjukkan
tunjukin,tunjukkan
tutorialx,tutorialnya
tutupin,menutupi
tuu,itu
tuuh,itu
tuuu,itu
tuuuuh,itu
tuwanya,tuanya
tuwek,tua
tuwh,tuh
tw,tahu
tx,tidak
tyap,tiap
u,kamu
u/,untuk
uaaasssiiiik,asik
uasai,kuasa
ubur2,ubur-ubur
ucapin,mengucapkan
ucul,lucu
ucull,lucu
ucullllll,lucu
ud,sudah
uda,sudah
udah,sudah
udah2,sudah-sudah
udahh,sudah
udahlah,sudahlah
udeh,sudah
udehh,sudah
udh,sudah
uga,juga
ugaaa,juga
ugha,juga
ughaa,juga
uhh,uh
uhhh,uh
uih,uh
uitnya,duitnya
ujg,ujung
ujung2,ujung-ujung
ujung2nya,ujung-ujungnya
ujunggg,ujung
ul,ulangan
ulan,ulang
ultah,ulang tahun
ultahe,ultahnya
ultha,ulang tahun
undangan2,undangan-undangan
ungkapin,ungkapkan
ungkit2,ungkit-ungkit
univ,universitas
untk,untuk
unyu,lucu
unyu2,unyu-unyu
unyuu,menggemaskan
unyuuk,menggemaskan
uplot,unggah
uppu,apa
urang,saya
urat2nya,urat-uratnya
urg,saya
ursan,urusan
urusanny,urusannya
urusin,urus
urusn,urusan
usa,perlu
usah,perlu
usahh,perlu
ush,perlu
ustzah,ustazah
utang,hutang
utip,kutip
utk,untuk
utkmu,untukmu
utul,ujian tertulis
uuh,uh
uuhh,uh
uuhhh,uh
uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk,apik
uwahhhhh,wah
uwakk,uwak
uwee,saya
uztad,ustad
valas,valuta asing
valid,sah
victory,menang
vol,volume
vote,pilih
w,saya
w/,dengan
waaa,wah
waaaaw,wow
waaahhh,wah
waaaww,wow
waaawwww,wow
waah,wah
wad,buat
wadaaw,waduh
wadir,wakil direktur
wado,waduh
waduhh,waduh
waduhhh,waduh
waduuuuh,waduh
wagub,wakil gubernur
wahh,wah
wahhh,wah
wahhhhhh,wah
wajarrr,wajar
wajiiib,wajib
waktunyaaa,waktunya
walik,balik
wamil,wajib militer
wanitah,wanita
wanjerrr,anjing
wanjiir,anjing
waoohhh,wah
war,perang
warbiyasah,luar biasa
waria,wanita pria
warkop,warung kopi
warnaaa,warna
warnany,warnanya
warnet,warung internet
warteg,warung tegal
wartel,warung telekomunikasi
waspadalah,waspada
wat,buat
watuk,batuk
waw,wow
waww,wow
wawwwww,wow
wdooohhh,waduh
weeeh,wih
week,wig
wenak,enak
wenakk,enak
wewww,wow
widihh,idih
wihh,wih
wihhh,wih
wihhhhhh,wih
wiih,wih
wiiiihhhh,wih
wiiiihhhhhhhhh,wih
wik,wig
wjh,wajah
wk,tertawa
wkt,waktu
wktu,waktu
wktunya,waktunya
wkwk,tertawa
wkwkkw,tertawa
wlau,walau
wlaupun,walaupun
wlawpun,walaupun
wlo,walau
wlwpun,walaupun
woey,woy
woles,selow
wong2,wong-wong
woooiiiii,woy
woooiiiiiiii,woy
wooow,wow
wooowww,wow
woooyy,woy
woow,wow
woowwww,wow
wota2,wota-wota
wouww,wow
wowoooww,wow
woww,wow
wowww,wow
wowwww,wow
wowwwww,wow
woyyy,woy
wrn,warna
wtf,what the fuck
wth,what the hell
wuastagah,astaga
x,kali
xixixi,tertawa
xlian,kalian
y,iya
ya,iya
yaa,iya
yaaa,iya
yaaa ,iya
yaaaa,iya
yaaaaaa,iya
yaaah,iya
yaaampunnn,ya ampun
yaaang,yang
yaah,iya
yaahh,iya
yaahhh,iya
yaak,iya
yaakk,iya
yaakkk,iya
yaampuuuunnnn,ya ampun
yaang,yang
yach,iya
yachhh,iya
yad,yang akan datang
yaelahhh,alah
yah,iya
yahbh,iya
yahh,iya
yahhh,iya
yahhhh,iya
yak,iya
yakaliiiii,yakali
yakinn,yakin
yakk,iya
yam,iya
yanckh,yang
yank,sayang
yankkk,sayang
yaoloh,yaallah
yaolohh,ya allah
yap,iya
yapp,iya
yappp,iya
yapz,iya
yaudah,ya sudah
yaudh,ya sudah
yauwda,ya sudah
yawdah,ya sudah
yawlah,ya allah
yawloh,ya allah
yayang,sayang
ybs,yang bersangkutan
yee,iya
yeee,iya
yeeee,iya
yep,iya
yeuh,iya
yg,yang
ygs,sayang
yh,iya
yha,iya
yhaaa,iya
yi,yaitu
yl,yang lain
yng,yang
ynk,sayang
yo,iya
yoha,iya
yoiii,yoi
yoiiu,yoi
yok,ayo
yokk,ayo
yokkk,ayo
yoo,iya
yook,ayo
yoooiii,yoi
yoookkkk,ayo
yooookkk,ayo
yooow,iya
yowes,ya sudah
yq,yang
ysh,iya
yu,ayo
yuh,itu
yuk,ayo
yukk,ayo
yukkk,ayo
yukkkk,ayo
yuks,ayo
yukss,ayo
yup,iya
yuppss,iya
yuu,ayo
yuuk,ayo
yuukk,ayo
yuuks,ayo
yuuu,ayo
yuuuk,ayo
yuuuuk,ayo
yuuuukkk,ayo
yuwkkk,ayo
ywdh,ya sudah
yya,iya
yyaaa,iya
z,saja
za,saja
zama,zaman
zonk,bodoh
